Common name,Scientific name,Helps,Helped by,Attracts,-Repels/+distracts,Avoid,Comments
Alliums,Allium,"Fruit trees, nightshades (tomatoes, capsicum peppers, potatoes), brassicas, carrots","Carrots, tomatoes, carrots and African spider plants (Cleome gynandra) together, marigolds (Tagetes spp.), mints",Thrips,"rabbits, slugs (see Garlic), aphids, carrot fly, cabbage loopers, cabbage maggots, cabbage worms, Japanese beetles","Beans peas,","Alliums are a family of plants which include onions, garlic, leeks, shallots, chives, and others.
"
Asparagus,Asparagus officinalis,"Tomatoes, parsley","Aster family flowers, dill, coriander, tomatoes, parsley, basil, comfrey, marigolds, nasturtiumscitation needed",Coupled with basil seems to encourage lady bugs,,"Onion, garlic, potatoes, gladioluscitation needed","
"
"Beans, bush",Phaseolus vulgaris,"Cucumber, soybeans, strawberries","Celery, strawberries, grains",,,"Fennel, soybeans, dry beans, alfalfa","""Lettuce, potato, tomato, other legumes, crucifers, or cucurbits increase sclerotinia"" in the soil and should be avoided before and after snap beans. See the entry for ""Legumes"" for more info
"
"Beans, pole",Phaseolus vulgaris,,"Radishes, Corn",,,"Sunflowers, beets, brassicas, kohlrabi","the stalk of the corn provides a pole for the beans to grow on, which then gives nitrogen to the soil of the corn.circular reference As for the Radishes, see the entry for ""Legumes"" for more info
"
"Beans, fava",Vicia faba,,"Strawberries, Celery",,,,"See the entry for ""Legumes"" for more info
"
Beets,Beta vulgaris,"Broccoli, bush beans, cabbage, lettuce, kohlrabi, onions, brassicas, passion fruit","Bush beans, onions, kohlrabi, catnip,citation needed garlic, lettuce, most brassicas, mint",,,Runner or pole beans,"Good for adding minerals to the soil through composting leaves which have up to 25% magnesium. Runner or pole beans and beets stunt each other's growth.
"
Brassicas,Brassica,"Beets, onions, potatoes, cereals (e.g. corn, wheat)","Beets, spinach, chard, Aromatic plants or plants with many blossoms, such as celery, chamomile, and marigolds. Dill, sage, peas,citation needed peppermint, spearmint,citation needed spurrey,citation needed rosemary, rye-grass,citation needed garlic, onions and potatoes. geraniums, alliums, nasturtium, borage, hyssop, tansy,citation needed tomatoes,citation needed thyme, wormwood, southernwood, beans, clovercitation needed",,Wireworms,"Mustards, nightshades (tomatoes, peppers, etc.), pole beans, strawberries","Brassicas are a family of plants which includes broccoli, Brussels sprouts, cabbage, cauliflower, Chinese cabbage, kohlrabi, radish, and turnip. Thyme, nasturtiums, and onion showed good resistance to cabbage worm, weevil and cabbage looper.
"
Broccoli,Brassica oleracea,Lettuce,"Mixture of mustard, pac choi, and rape.citation needed  Beets, dill, lettuce, mustard,citation needed onions, tomato, turnip, clover",,,,"Broccoli as a main crop intercropped with lettuce was shown to be more profitable than either crop alone. Turnip acts as a trap crop. See brassicas entry for more info
"
Brussels sprouts,Brassica oleracea,,"Sage, thyme, clover, malting barleycitation needed",,,,"
"
Cabbage,Brassica oleracea / Brassica chinensis,"Beans, celery","Beans, clover, calendula/pot marigold, chamomile, larkspur, nasturtiums, dill, coriander, hyssop, onions, beets, marigolds,citation needed mint, rosemary, sage, thyme, tomatoes,citation needed lacy phacelia,citation needed Green onions with Chinese cabbage.citation needed",Snails and slugs,,Grapes,"See brassicas entry for more info. If using clover as an intercrop it should be sown after cabbage transplant so as not to affect crop yield. Nasturtiums repel cabbage moths
"
Carrots,Daucus carota,"Tomatoes, alliums, beans, leeks, lettuce, onions, passion fruit","Lettuce, alliums (chives, leeks, onions, shallots, etc.), rosemary, wormwood, sage, beans, flax","Assassin bug, lacewing, parasitic wasp, yellow jacket and other predatory wasps","Leek moth, onion fly","Dill, parsnip, radish","Tomatoes grow better with carrots, but may stunt the carrots' growth. Beans provide the nitrogen carrots need more than some other vegetables. Aromatic companion plants repel carrot fly. Sage, rosemary, and radishes are recommended by some as companion plants, but listed by others as incompatible. Alliums inter-planted with carrots confuse onion and carrot flies. For the beneficial insect-attracting properties of carrots to work, they need to be allowed to flower; Otherwise, use the wild carrot, Queen Anne's Lace, for the same effect. Flax produces an oil that may protect root vegetables like carrots from some pests.
"
Cauliflower,Brassica oleracea,"Beans, celery, spinach, peas","Mixture of Chinese cabbage, marigolds, rape, and sunflower.citation needed  Spinach,citation needed peas",,,,"One row of spinach alternating at 60Â cm from each row of cauliflower proved mutually beneficial.citation needed See brassicas for more info. See peas regarding their mutualism with cauliflower.
"
Celery,Apium graveolens,"Bush beans, brassicas, cucumber","Cosmos, daisies, snapdragons, leeks, tomatoes, cauliflower, cabbage, bush beans",,Whiteflies,"Corn, aster flowers","Aster flowers, can transmit the aster yellows disease
"
Chard,Beta vulgaris ssp. cicla,"Brassicas, passion fruit",,,,,"
"
Corn / Maize,Zea mays,"Beans, cucurbits, soybeans, tomatoes","Sunflowers, dill, legumes (beans, peas, soybeans etc.), peanuts, cucurbits, clover, amaranth, white geranium, pigweed, lamb's quarters, morning glory, parsley, and potato, field mustard, Sudan grasscitation needed",,,"Tomato, celery","Provides beans with a trellis, is protected from predators and dryness by cucurbits, in the three sisters technique
"
Cucumber,Cucumis sativus,"Beans, kohlrabi, lettuce","Kohlrabi, nasturtiums, radishes, marigolds, sunflowers, peas, beans, chamomile, beets, carrots, dill, onions, garlic, amaranth (Amaranthus cruentus), celery, Malabar spinach",Beneficial for ground beetles,"Raccoons, ants","Potato, aromatic herbs","Sow 2 or 3 radish seeds in with cucumbers to repel cucumber beetles. One study showed a 75% reduction in cucumber beetles with the concurrent seeding of amaranth. Various sprays from lettuce, asparagus, Malabar spinach, and celery were found to reduce whiteflies.See cucurbits entry for more info
"
Cucurbits,Cucurbitaceae,Corn,"Corn, grain sorghum",,,,"Cucurbits are a family of plants that includes melons, cucumbers, gourds, pumpkins, and squash
"
Eggplant or Aubergine,Solanum melongena,"Beans, peppers, tomatoes, passion fruit","Marigolds, catnip, dill,citation needed redroot pigweed, green beans, tarragon, mints, thyme",,,,"Marigolds will deter nematodes.
"
Kohlrabi,Brassica oleracea v. gongylodes,"Onion, beets, aromatic plants, cucumbers","Beets, cucumbers",,,,"See Brassicas entry for more info
"
Leek,Allium ampeloprasum v. porrum,"Carrots, celery, onions, tomato, passion fruit","Carrots clover,",,,Swiss chard,"See Alliums entry for more info
"
Legumes,Phaseolus and Vicia,"Beets, lettuce, okra, potato, spinach, dill, cabbage, carrots, chards, eggplant, peas, tomatoes, brassicas, corn, cucumbers, grapes","Summer savory, beets, cucumbers, borage, cabbage, carrots, cauliflower, corn, larkspur, lovage, marigolds, mustards, radish, potato, peppermint, rosemary, lettuce, onion,citation needed squash, lacy phacelia",Snails and slugs,Colorado potato beetle,"Alliums, gladiolas","Hosts nitrogen-fixing bacteria, a good fertiliser for some plants, too much for others. Rosemary and peppermint extracts are used in organic sprays for beans. Summer savory and potatoes repel bean beetles.
"
Lettuce,Lactuca sativa,"Beets, beans, okra, onions, radish, broccoli, Carrots, passion fruit","Radish, beets, dill, kohlrabi, onions, beans, carrots, cucumbers, strawberries, broccoli thyme, nasturtiums, alyssum, cilantro",Slugs and snails.,,"Celery, cabbage, cress, parsley","Mints (including hyssop, sage, and various ""balms"") repel slugs, a bane of lettuce and cabbages.citation needed Broccoli when intercropped with lettuce was shown to be more profitable then either crop alone.
"
Mustard,Sinapis alba,"Beans, broccoli, cabbage, cauliflower, fruit trees, grapes, radish, brussels sprouts, turnips",,,Various pests,,"See Brassicas entry for more info. Mustard acts as a trap crop in broccoli.citation needed
"
Nightshades,Solanaceae,,"Carrots, alliums, mints (basil, oregano, etc.)",,,"Beans, black walnuts, corn, fennel, dill, brassicas","Nightshades are a family of plants which include tomatoes, tobacco, chili peppers (including bell peppers), potatoes, eggplant, and others
"
Okra,Abelmoschus esculentus,"Sweet potato, tomatoes, peppers","Beans, lettuce, squash, sweet potato, peppers",,,,"Okra and sweet potato are mutually beneficial when planted simultaneously.
"
Onion,Allium cepa,"Beets, beans, brassicas, cabbage, broccoli, carrots, lettuce, cucumbers, peppers, passion fruit, strawberries. Green onions with Chinese cabbage.","Carrots, beets, brassicas, dill, lettuce, strawberries, marigolds,citation needed mints,citation needed tomatoes, summer savory, chamomile, pansy",,,"Lentils, peas,","See Alliums entry for more info
"
Parsnip,Pastinaca sativa,Fruit trees,,A variety of predatory insects,,,"The flowers of the parsnip plant left to seed will attract a variety of predatory insects to the garden, they are particularly helpful when left under fruit trees, the predators attacking codling moth and light brown apple moth. The root also contains Myristricin, which is toxic to fruit flies, house flies, red spider mite, pea aphids, a simple blender made extraction of three blended parsnips roots to one litre of water through a food processor (not one for preparing food) and left overnight, strained and use within a few days.
"
Peas,Pisum sativum,"Brassicas, turnip, cauliflower, garlic,","Turnip, cauliflower, garlic, mints",,Colorado potato beetle,,"Peas when intercropped with turnips, cauliflower, or garlic showed mutual suppression of growth however their profit per land area used was increased.
"
Peppers,"Solanaceae, Capsicum",Okra,"Beans, tomatoes, marjoram,citation needed okra, geraniums, petunias, sunflowers, onions crimson clover, basil, field mustard",,,"Beans, kale (cabbage, Brussels sprouts, etc.)","Pepper plants like high humidity, which can be helped along by planting with some kind of dense-leaf or ground-cover companion, like marjoram and basil; they also need direct sunlight, but their fruit can be harmed by it...pepper plants grown together, or with tomatoes, can shelter the fruit from sunlight, and raises the humidity level. Sunflowers, when in bloom at the right time, sheltered beneficial insects which lowered thrips populations.
"
Potato,Solanum tuberosum,"Brassicas, beans, corn, peas, passion fruit","Horseradish, beans, dead nettle, marigolds, peas, onion, garlic, thyme, clover",,Mexican bean beetle,"Atriplex, carrot, cucumber, pumpkin, raspberries, squash, sunflower, tomato","Horseradish increases the disease resistance of potatoes. It repels the potato bug. Garlic was shown to be more effective than fungicides on late potato blight.65 Peas were shown to reduce the density of Colorado potato beetles.
"
Pumpkin,Cucurbita pepo,"Corn, beans","Buckwheat, Jimson weed, catnip, oregano, tansy, radishes, nasturtiums","spiders, ground beetles",,Potatoes,"Radishes can be used as a trap crop against flea beetles, cucurbita can be used in the three sisters technique. Nasturtiums repel squash bugs.
"
Radish,Raphanus sativus,"Squash eggplant, cucumber, lettuce, peas, beans, pole beans,","Chervil, lettuce, nasturtiums",,"flea beetles, cucumber beetles",Grapes,"Radishes can be used as a trap crop against flea beetles. Radishes grown with lettuce taste better.
"
Soybean,Glycine max,,"Corn, snap beans,citation needed sunflower",,,,"A mixture of corn, mungbean, and sunflower was found to rid soybeans of aphids. Snap beans act as a trap crop for Mexican bean beetles in soybeans.citation needed
"
Spinach,Spinacia oleracea,"Brassicas, cauliflower, passion fruit","Strawberries, peas, beans, cauliflowercitation needed",,,,"The peas and beans provide natural shade for the spinach. See cauliflower notes regarding mutualism with spinach.citation needed
"
Squash,Cucurbita spp.,"corn, beans, okra,","Beans, buckwheat, borage, catnip, tansy, radishes, marigolds, nasturtiums","Spiders, ground beetles",,,"Radishes can be used as a trap crop against flea beetles, cucurbita can be used in the three sisters technique. Marigolds and nasturtiums repel squash bugs. Marigolds repel cucumber beetles.
"
Sweet potato,Ipomoea batatas,Okra,Okra,,,,"Okra and sweet potato are mutually beneficial when planted simultaneously.
"
Tomatoes,Solanum lycopersicum,"Brassicas, broccoli, cabbage, celery, roses, peppers, asparagus","Asparagus, basil, beans, bee balm (Monarda),  oregano, parsley, marigold, alliums, garlic, leeks, celery, geraniums, petunias, nasturtium, borage, coriander, chives, corn, dill, mustard, fenugreek, barley, carrots, eggplant, mints, okra, sage, thyme, ""flower strips""",,Asparagus beetle,"Black walnut, alfalfa, corn, fennel, chili peppers, peas, dill, potatoes, beetroot, brassicas, rosemary","Black walnuts inhibit tomato growth, in fact they are negative allelopathic  to all other nightshade plants (chili pepper, potato, tobacco, petunia) as well, because it produces a chemical called juglone. Dill attracts tomato hornworm.Growing tomatoes with Basil does not appear to enhance tomato flavour but studies have shown that growing them around 10 inches apart can increase the yield of tomatoes by about 20%. One study shows that growing chili peppers near tomatoes in greenhouses increases tomato whitefly on the tomatoes.
"
Turnips and rutabagas,Brassica rapa and Brassica napobrassica,"Peas, broccoli","Hairy vetch, peas",,,"hedge mustard, knotweed","Turnips act as a trap crop for broccoli. See peas regarding their mutualism with turnips.
"
